[29jun2024 12:50:55.840] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\Usuario\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, refm, --all, --output, C:\Users\Usuario\Documents\Blender\minecra\forge-1.20.1-RapierMod\src\generated\resources, --existing, C:\Users\Usuario\Documents\Blender\minecra\forge-1.20.1-RapierMod\src\main\resources]
[29jun2024 12:50:55.846] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.11 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[29jun2024 12:50:55.939] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[29jun2024 12:50:55.979] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Usuario/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[29jun2024 12:50:56.294] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Usuario\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.20\918959a037ab7191a0c45a359f4746ab76c110c3\javafmllanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29jun2024 12:50:56.297] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Usuario\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.20\c1d1efcb98e8bfcf3dbfed0d1e81b55b648b86bf\lowcodelanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29jun2024 12:50:56.301] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Usuario\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.20\efca3bee89c0085192b122d47334692b921ca7d1\mclanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29jun2024 12:50:56.305] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Usuario\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.20\12cd436f148405b50c9b16bd8f3cc6f18db89824\fmlcore-1.20.1-47.2.20.jar is missing mods.toml file
[29jun2024 12:50:56.384] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[29jun2024 12:50:57.545] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[29jun2024 12:50:57.547] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\Usuario\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, refm, --all, --output, C:\Users\Usuario\Documents\Blender\minecra\forge-1.20.1-RapierMod\src\generated\resources, --existing, C:\Users\Usuario\Documents\Blender\minecra\forge-1.20.1-RapierMod\src\main\resources]
[29jun2024 12:50:57.972] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [refm]
[29jun2024 12:50:59.391] [main/WARN] [mixin/]: @Final field nextHeadUpdate:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29jun2024 12:50:59.391] [main/WARN] [mixin/]: @Final field idleHeadUpdates:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29jun2024 12:51:01.646] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.20, for MC 1.20.1 with MCP 20230612.114412
[29jun2024 12:51:01.647] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.20 Initialized
[29jun2024 12:51:01.670] [modloading-worker-0/INFO] [epicfight/]: Registered skill refm:refm:deadlybackflip
[29jun2024 12:51:01.719] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:basic_attack
[29jun2024 12:51:01.719] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:air_attack
[29jun2024 12:51:01.720] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:roll
[29jun2024 12:51:01.721] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:step
[29jun2024 12:51:01.722] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:knockdown_wakeup
[29jun2024 12:51:01.726] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:guard
[29jun2024 12:51:01.727] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:parrying
[29jun2024 12:51:01.729] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:impact_guard
[29jun2024 12:51:01.730] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:berserker
[29jun2024 12:51:01.731] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:death_harvest
[29jun2024 12:51:01.732] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:emergency_escape
[29jun2024 12:51:01.733] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:endurance
[29jun2024 12:51:01.734] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:forbidden_strength
[29jun2024 12:51:01.735] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:hypervitality
[29jun2024 12:51:01.736] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:stamina_pillager
[29jun2024 12:51:01.737] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:swordmaster
[29jun2024 12:51:01.738] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:technician
[29jun2024 12:51:01.738] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:sweeping_edge
[29jun2024 12:51:01.739] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:dancing_edge
[29jun2024 12:51:01.739] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:the_guillotine
[29jun2024 12:51:01.740] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:grasping_spire
[29jun2024 12:51:01.740] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:heartpiercer
[29jun2024 12:51:01.741] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:steel_whirlwind
[29jun2024 12:51:01.743] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:battojutsu
[29jun2024 12:51:01.743] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:battojutsu_passive
[29jun2024 12:51:01.744] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:rushing_tempo
[29jun2024 12:51:01.744] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:relentless_combo
[29jun2024 12:51:01.745] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:liechtenauer
[29jun2024 12:51:01.745] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:sharp_stab
[29jun2024 12:51:01.746] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:eviscerate
[29jun2024 12:51:01.763] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:blade_rush
[29jun2024 12:51:01.764] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:wrathful_lighting
[29jun2024 12:51:01.765] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:tsunami
[29jun2024 12:51:01.766] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:everlasting_allegiance
[29jun2024 12:51:01.767] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:meteor_slam
